UID,PAPER ID,Included from,Snowballing direction,Title,Authors,Venue.acronym,Venue.type,Year,Architecture.keywording,ATDI.keywording,Analysis.keywording,Temporal.dimension,Source.keywording,ATD.resolution,Tool.supported,Industry.involvement,Tool.availability,Rigor,Rigor - context,Rigor - design,Rigor - validity,Relevance,Industrial relevance - subjects,Industrial relevance - context,Industrial relevance - scale,Industrial relevance - method
21,251,Initial,-,Identifying and visualizing Architectural Debt and its efficiency interest in the automotive domain: A case study,"Eliasson, Ulf; Martini, Antonio; Kaufmann, Robert; Odeh, Sam",MTD,W,2015,C&C,"Dependency Violations, Compliance Violations","Survey, Change Impact Analysis, Cost Analysis",N,S,N,-,M,N,2.00,1,1,0,3,1,1,0,1
22,259,Initial,-,In search of a metric for managing architectural technical debt,"Nord, Robert L.; Ozkaya, Ipek; Kruchten, Philippe; Gonzalez-Rojas, Marco",WICSA,C,2012,C&C,"Dependency Violations, Other","Dependency Analysis, Cost Analysis, Change Impact Analysis",N,AD,N,-,A,N,1.50,1,0.5,0,3,1,0,1,1
23,270,Initial,-,Investigating Architectural Technical Debt accumulation and refactoring over time: A multiple-case study,"Martini, Antonio; Bosch, Jan; Chaudron, Michel",IST,J,2015,C&C,"Compliance Violations,
Dependency Violations",Survey,Y,"AD, S",Y,-,A,N,2.50,0.5,1,1,4,1,1,1,1
24,301,Initial,-,Mapping architectural decay instances to dependency models,"Mo, Ran; Garcia, Joshua; Cai, Yuanfang; Medvidovic, Nenad",MTD,W,2013,"C&C, Source Code Classes",Compliance Violations,"Architectural Antipatterns, Modularity Analysis, Dependency Analysis",N,"AD, SC",N,-,A,N,1.00,0,1,0,3,1,1,1,0
25,308,Initial,-,Measuring architecture quality by structure plus history analysis,"Schwanke, Robert; Xiao, Lu; Cai, Yuanfang",ICSE,C,2013,Source Code Files,Other,"OO Relation Analysis, Evolution Analysis, Architectural Antipatterns",Y,"SC, ED, IT",Y,Understand,M,N,1.50,0.5,0.5,0.5,2,0,0,1,1
26,311,Initial,-,"Minimizing Refactoring Effort through Prioritization of Classes based on Historical, Architectural and Code Smell Information","Singh, Paramvir",TDA,W,2016,Source Code Classes,Compliance Violations,"OO Relation Analysis, Evolution Analysis, Architectural Antipatterns",Y,"SC, ED",N,"Ref-Finder, Organic, JSpIRIT",A,Y,2.50,1,1,0.5,2,0,0,1,1
27,315,Initial,-,Modeling architectural dependencies to support software release planning,"Nord, Robert L.; Ozkaya, Ipek; Brown, Nanette; Sangwan, Raghvinder S.",DSM,C,2011,Source Code Packages,Dependency Violations,"Architectural Antipatterns, Dependency Analysis, Visualization, Cost Analysis",Y,AD,N,-,A,N,1.00,0.5,0.5,0,4,1,1,1,1
28,321,Initial,-,On evaluating the impact of the refactoring of architectural problems on software quality,"Fontana, Francesca Arcelli; Roveda, Riccardo; Vittori, Stefano; Metelli, Andrea; Saldarini, Stefano; Mazzei, Francesco",XPConf,W,2016,"Source Code Packages, Source Code Classes","Dependency Violations, Non-Modularity, Other","Architectural Antipatterns, Dependency Analysis, Modularity Analysis",N,SC,Y,"SonarQube, inFusion, SA4J, Structure101",A,Y,1.50,0.5,0.5,0.5,3,1,1,0,1
29,322,Initial,,On the interest of architectural technical debt: Uncovering the contagious debt phenomenon,"Martini, Antonio; Bosch, Jan",JSEP,J,2017,-,"Change Proneness, Non-Modularity, Other","Survey, Cost Analysis",Y,S,N,-,A,N,3.00,1,1,1,4,1,1,1,1
30,333,Initial,-,Practical Technical Debt Discovery by Matching Patterns in Assessment Graph,"Shapochka, Andriy; Omelayenko, Borys",MTD,W,2016,"Source Code Packages, Source Code Classes","Dependency Violations, Non-Modularity, Other","Architectural Antipatterns, Dependency Analysis, Cost Analysis",N,SC,N,-,I,N,1.00,0.5,0.5,0,3,1,1,0,1
31,336,Initial,-,Preemptive management of model driven technical debt for improving software quality,"Izurieta, Clemente; Rojas, Gonzalo; Griffith, Isaac",QoSA,C,2015,Source Code Classes,Compliance Violations,"Compliance Checking, Evolution Analysis, OO Relation Analysis",N,AD,N,-,A,N,1.50,0.5,1,0,0,0,0,0,0
32,371,Initial,-,Software architecture health monitor,"Cai, Yuanfang; Kazman, Rick",ICSE,W,2016,Source Code Files,"Change Proneness, Non-Modularity, Dependency Violations","Architectural Antipatterns, Modularity Analysis, Dependency Analysis, Evolution Analysis",Y,"SC, IT, ED",N,"Titan, Understand",A,N,0.00,0,0,0,1,0,0,1,0
33,397,Initial,-,Technical debt and system architecture: the impact of coupling on defect-related activity,"MacCormack, Alan; Sturtevant, Daniel J.",JSS,J,2016,Source Code Files,Change Proneness,"Dependency Analysis, Modularity Analysis, Cost Analysis",N,SC,Y,Call Graph Extractor,A,N,2.50,1,1,0.5,4,1,1,1,1
34,399,Initial,-,Technical Debt and the Reliability of Enterprise Software Systems: A Competing Risks Analysis,"Ramasubbu, Narayan; Kemerer, Chris F.",Manag. Sci.,J,2015,C&C,"Non-Modularity, Dependency Violations","Dependency Analysis, Modularity Analysis, Cost Analysis, Evolution Analysis, Other",Y,"SC, ED",N,-,A,N,1.50,0.5,0.5,0.5,4,1,1,1,1
35,414,Initial,-,Technical Debt Indexes provided by tools: a preliminary discussion,"Fontana, Francesca Arcelli; Roveda, Riccardo; Zanoni, Marco",MTD,W,2016,-,"Dependency Violations, Non-Modularity, Other","Architectural Antipatterns, Dependency Analysis, Modularity Analysis",N,SC,N,"CAST, inFusion, Sonargraph, SonarQube, Structure101",A,Y,0.00,0,0,0,0,0,0,0,0
36,438,Initial,-,The danger of architectural technical debt: Contagious debt and vicious circles,"Martini, Antonio; Bosch, Jan",WICSA,C,2015,C&C,Compliance Violations,Survey,Y,"AD, S",Y,-,A,N,3.00,1,1,1,4,1,1,1,1
37,462,Initial,,Tool support for evaluating architectural debt of an existing system: An experience report,"Fontana, Francesca Arcelli; Roveda, Riccardo; Zanoni, Marco",SAC,C,2016,-,"Compliance Violations, Other","Architectural Antipatterns, Dependency Analysis, Modularity Analysis",N,SC,N,"inFusion, SonarQube, Sonargraph",A,Y,1.00,0,0.5,0.5,0,0,0,0,0
38,472,Initial,-,Towards a Technical Debt Management Framework based on Cost-Benefit Analysis,"Harun, Muhammad Firdaus; Lichter, Horst",ICSEA,C,2015,Source Code Packages,Dependency Violations,"Architectural Antipatterns, Evolution Analysis, Cost Analysis",Y,"SC, ED",Y,iPlasma,A,Y,0.00,0,0,0,0,0,0,0,0
39,494,Initial,-,Using Naming Patterns for Identifying Architectural Technical Debt,"del Carpio, Paul Mendoza",ASTESJ,J,2017,Source Code Packages,"Compliance Violations, Other","Compliance Checking, Manual Classification",N,SC,N,-,A,N,1.00,0.5,0.5,0,3,1,0,1,1
40,501,Initial,-,Visualising architectural dependencies,"Brondum, John; Zhu, Liming",MTD,W,2012,Source Code Packages,Dependency Violations,"Dependency Analysis, Visualization, Manual Classification",N,SC,N,-,M,N,2.50,1,1,0.5,3,1,1,0,1
41,510,12,B,Identifying architectural bad smells,"Garcia, Joshua; Popescu, Daniel; Edwards, George; Medvidovic, Nenad",CSMR,C,2009,C&C,"Other, Non-Modularity, Dependency Violations","Architectural Antipatterns, Modularity Analysis, Manual Classification",N,SC,N,-,A,N,0.50,0.5,0,0,2,0,1,1,0
42,511,12,B,Design rule spaces: A new form of architecture insight,"Xiao, Lu; Cai, Yuanfang; Kazman, Rick",ICSE,C,2014,Source Code Files,"Non-Modularity, Other","Architectural Antipatterns, Modularity Analysis, Dependency Analysis, Evolution Analysis",Y,"SC, ED, IT",N,Titan,A,N,2.00,0.5,1,0.5,3,1,0,1,1
43,512,12,B,"The aramis workbench for monitoring, analysis and visualization of architectures based on run-time interactions","Nicolaescu, Ana; Lichter, Horst; Göringer, Artjom; Alexander, Peter; Le, Dung",ECSAW,C,2015,-,Compliance Violations,"Compliance Checking, Dependency Analysis, Visualization ",N,SC,N,ARAMIS,A,N,2.00,1,1,0,1,0,1,0,0
44,514,89,B,Towards assessing software architecture quality by exploiting code smell relations,"Fontana, Francesca Arcelli; Ferme, Vincenzo; Zanoni, Marco",SAM,W,2015,Source Code Classes,Other,OO Relation Analysis,N,SC,N,-,A,N,1.50,0.5,0.5,0.5,4,1,1,1,1
45,515,113,B,Detecting Software Modularity Violations,"Wong, Sunny; Cai, Yuanfang; Kim, Miryung; Dalton, Michael",ICSE,C,2011,Source Code Classes,"Change Proneness, Non-Modularity, Compliance Violations, Dependency Violations","Modularity Analysis, Evolution Analysis",Y,"SC, ED",N,CLIO,A,Y,2.50,1,0.5,1,2,0,0,1,1
46,517,311,B,Enhancing the detection of code anomalies with architecture-sensitive strategies,"Macia, Isela; Garcia, Alessandro; Chavez, Christina; von Staa, Arndt",CSMR,C,2013,C&C,"Dependency Violations, Non-Modularity","Architectural Antipatterns, Modularity Analysis, Dependency Analysis",N,SC,N,Structure101,M,Y,2.50,0.5,1,1,3,1,1,0,1
47,518,351,B,On the relevance of code anomalies for identifying architecture degradation symptoms,"Macia, Isela; Arcoverde, Roberta; Garcia, Alessandro; Chavez, Christina; von Staa, Arndt",CSMR,C,2012,"Source Code Classes, Source Code Packages, C&C",Compliance Violations,"OO Relation Analysis, Architectural Antipatterns, Compliance Checking",N,SC,N,"SonarGraph, Understand",M,N,3.00,1,1,1,3,1,0,1,1
